lat,lon,name,place_name,amenity_pharmacy,amenity_restaurant,amenity_school,amenity_cafe,amenity_hospital,amenity_bank,leisure_fitness_centre,leisure_sports_centre
13.002793095490205,77.61485816989233,plumeria,Frazer Town,17.0,42.0,19,11.0,12.0,29.0,7.0,5.0
13.004593799999999,77.5669909,maithree apartments,Malleswaram,24.0,50.0,25,12.0,24.0,55.0,5.0,8.0
12.979256452413692,77.71337527487937,maa nandanam,EPIP Zone,3.0,18.0,9,10.0,2.0,1.0,2.0,5.0
12.931868750005341,77.74393034998187,candeur signature block 4,Varthur,8.0,15.0,10,4.0,3.0,1.0,1.0,1.0
12.999745042488556,77.59521788769665,maddox edge,Vasanth Nagar,1.0,10.0,7,7.0,7.0,12.0,2.0,3.0
12.900434223535056,77.66525306213485,tower 20,Haralur,2.0,1.0,4,1.0,3.0,1.0,1.0,1.0
12.92985600000442,77.48535649999233,bilad laurel,Kengeri,2.0,2.0,7,1.0,4.0,2.0,0.0,1.0
13.122866458845253,77.62076937073279,nitesh columbus square apartments,Dwaraka Nagar,2.0,6.0,3,4.0,6.0,2.0,0.0,1.0
13.08034163341847,77.64024911634388,tower f,Bhartiya City,0.0,5.0,4,2.0,2.0,0.0,0.0,2.0
12.929669250007967,77.48505730000636,pioneer lake view,Kengeri,2.0,2.0,4,1.0,5.0,2.0,0.0,1.0
12.95152231145287,77.57015049938083,adarsh manor,Chamarajapete,6.0,47.0,30,6.0,21.0,35.0,7.0,3.0
12.97445154999818,77.64070695000034,moodera,Indiranagar,37.0,209.0,26,77.0,29.0,61.0,13.0,8.0
13.107798582779527,77.58000797301654,blue bell,1st Cross Road,9.0,21.0,8,10.0,12.0,13.0,0.0,1.0
12.969669328740475,77.66962698843263,block a,Lal Bahadur Shastri Nagar,4.0,5.0,9,0.0,4.0,1.0,1.0,4.0
13.004596271091762,77.62327421098806,east villa,Lingarajapuram,19.0,26.0,12,12.0,7.0,19.0,3.0,6.0
12.92660615002651,77.6646597000097,treasure,Iblur,8.0,26.0,5,9.0,8.0,15.0,5.0,5.0
12.926335443980285,77.66810583424369,block 3,Sobha Jasmine,8.0,40.0,5,11.0,11.0,18.0,8.0,5.0
13.000053149998827,77.62335539999182,sree balaji nilaya,Frazer Town,20.0,31.0,17,14.0,6.0,24.0,4.0,6.0
12.958142138890423,77.60401067475043,landmark,Richmond Town,10.0,17.0,34,11.0,10.0,20.0,3.0,4.0
12.95940810497746,77.5690291991369,gopalan pushpanjali,Chamarajapete,7.0,12.0,20,3.0,23.0,17.0,4.0,3.0
13.00454405000195,77.6224577499828,ashley house,Lingarajapuram,18.0,30.0,13,12.0,8.0,21.0,6.0,6.0
12.973384724518466,77.74765661479061,lavyuk's cattleya orchids,Whitefield,6.0,13.0,16,4.0,3.0,9.0,9.0,1.0
